SMILES,shift_value
O=C1CCC(C(F)(F)F)NN1CC1NCCS1,-67.24
NC1NC(C(F)(F)F)NS1,-67.28
CC1CC(CN2NC(C(F)(F)F)CCC2=O)NO1,-67.29
OCCCC(F)(F)F,-67.4
[H]/C(CCC)=C(\[H])CC(F)(F)F,-67.55
CNC1CC(C(F)(F)F)NC2CCCCC12,-67.59
CC1NC(C(F)(F)F)CCC1C(=O)N1CCNCC1,-67.74
OC1CCN(C2CC(C(F)(F)F)NC3CCCCC23)CC1,-67.75
NCC1CCCC(C(F)(F)F)N1,-67.76
O[C@H]1CCN(C2CCCC(C(F)(F)F)N2)C1,-67.84
CC(=O)NC1CCCN(CC(F)(F)F)C1,-67.86
CC1(C)CN(C2CCNC(C(F)(F)F)C2)CCO1,-67.93
N#CC1CCC(C(=O)N2CCN(CC(F)(F)F)CC2)CC1,-67.97
F/C(Br)=C\C1=CC=CC=C1,-68.0
C=C(F)Cl,-68.0
FC(F)(F)C1=CNC2=CC=CC=C21,-68.0
FC(F)Br,-68.0
FC(F)(F)C1=NC2=CC=CC=C2C=C1,-68.0
FC(F)(F)C1=NC=CC=C1,-68.0
[H]/C(CCC)=C(/[H])CC(F)(F)F,-68.0
[H]C(=O)C(C)C(F)(F)F,-68.0
O=C(O)CCC(F)(F)F,-68.0
CCCC(F)(F)F,-68.0
CCCCCCC(F)(F)F,-68.0
CCCCCC(F)(F)F,-68.0
CC1=CC=CC(F)=C1,-68.0
CCCN1C(=O)C2CCC(C(F)(F)F)NC2N(C)C1=O,-68.02
OC[C@H]1CCCN1C1CCCC(C(F)(F)F)N1,-68.2
CC1CN(C2CCCC(C(F)(F)F)N2)CCCO1,-68.22
CC1CN(C(N)=O)CCN1CC(F)(F)F,-68.55
O=C1CC(C(F)(F)F)C(C(=O)O)CN1,-68.64
O=C(O)C1CCCN1CC(F)(F)F,-68.77
[H]/C(F)=P/C1=C(C)C=C(C)C=C1C,-69.0
N#CC(Br)C(F)(F)F,-69.0
FC(F)(F)C1=CC=CC(Cl)=N1,-69.0
[N-]=[N+]=NC(F)(F)C1=CC=CC=C1,-69.0
FC(F)(F)CSC1=CC=CC=C1,-69.0
CCCCSCC(F)(F)F,-69.0
